Altium Designer Pick and Place Locations
D:\1401.06_fland\BLOX\Electrical\DevKit\board\Project Outputs for BAS_DevKITV3\Pick Place\Pick Place for DevKITV3(Production).txt

========================================================================================================================
File Design Information:

Date:       29/12/22
Time:       17:49
Revision:   0d502c7c95843c00281c229e6f614315dd34a5c7
Variant:    Production
Units used: mil

Designator     Comment         Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                       
IC203          USB7252C        TopLayer    VQFN-100G_12X12            4094.488      2362.205      90       "4-Port USB 3.2 Gen 2 Type-C Controller Hub"                                      
C259           100nF           TopLayer    C0402                      2629.921      1952.756      270      "100nF 16V 10% X7R"                                                               
C251           100nF           TopLayer    C0402                      3724.409      1598.425      270      "100nF 16V 10% X7R"                                                               
C227           100nF           BottomLayer C0402                      4303.150      2464.567      0        "100nF 16V 10% X7R"                                                               
C244           100nF           BottomLayer C0402                      4598.425      4370.079      90       "100nF 16V 10% X7R"                                                               
C237           100nF           BottomLayer C0402                      4149.606      2094.488      180      "100nF 16V 10% X7R"                                                               
C201           4.7µF           BottomLayer C0603                      3700.787      2755.905      135      "4.7µF 16V 10% X5R"                                                               
C248           100nF           TopLayer    C0402                      3535.433      1598.425      270      "100nF 16V 10% X7R"                                                               
C260           100nF           TopLayer    C0402                      2661.417      1952.756      270      "100nF 16V 10% X7R"                                                               
C215           1nF             BottomLayer C0402                      3783.465      2385.827      90       "1nF 50V 1% C0G"                                                                  
C209           1nF             BottomLayer C0402                      4133.858      2673.229      0        "1nF 50V 1% C0G"                                                                  
C207           1nF             BottomLayer C0402                      4275.591      2673.228      0        "1nF 50V 1% C0G"                                                                  
C226           1nF             BottomLayer C0402                      4330.709      2307.087      90       "1nF 50V 1% C0G"                                                                  
C204           100nF           BottomLayer C0402                      4440.945      2405.512      270      "100nF 16V 10% X7R"                                                               
C206           100nF           BottomLayer C0402                      4275.591      2704.724      0        "100nF 16V 10% X7R"                                                               
C208           100nF           BottomLayer C0402                      4133.858      2704.724      0        "100nF 16V 10% X7R"                                                               
C231           100nF           BottomLayer C0402                      3744.094      2661.417      0        "100nF 16V 10% X7R"                                                               
C224           1nF             BottomLayer C0402                      4314.961      2173.228      270      "1nF 50V 1% C0G"                                                                  
C212           100nF           BottomLayer C0402                      3645.669      2581.693      90       "100nF 16V 10% X7R"                                                               
C236           1nF             BottomLayer C0402                      3881.890      2251.968      180      "1nF 50V 1% C0G"                                                                  
C238           1nF             BottomLayer C0402                      4149.606      2133.858      180      "1nF 50V 1% C0G"                                                                  
C220           4.7µF           TopLayer    C0603                      3677.165      2657.480      270      "4.7µF 16V 10% X5R"                                                               
C249           100nF           TopLayer    C0402                      3692.913      1598.425      270      "100nF 16V 10% X7R"                                                               
C228           1nF             BottomLayer C0402                      4303.150      2425.197      0        "1nF 50V 1% C0G"                                                                  
C232           1nF             BottomLayer C0402                      3744.094      2622.047      0        "1nF 50V 1% C0G"                                                                  
C256           100nF           TopLayer    C0402                      5535.433      1594.488      270      "100nF 16V 10% X7R"                                                               
C202           100nF           BottomLayer C0402                      4440.945      2149.606      270      "100nF 16V 10% X7R"                                                               
C234           1nF             BottomLayer C0402                      3870.079      2409.449      180      "1nF 50V 1% C0G"                                                                  
C233           100nF           BottomLayer C0402                      3870.079      2374.016      180      "100nF 16V 10% X7R"                                                               
C257           100nF           TopLayer    C0402                      5661.417      1594.488      270      "100nF 16V 10% X7R"                                                               
C214           100nF           BottomLayer C0402                      3751.968      2385.827      90       "100nF 16V 10% X7R"                                                               
C217           1nF             BottomLayer C0402                      3783.465      2165.354      270      "1nF 50V 1% C0G"                                                                  
C203           1nF             BottomLayer C0402                      4409.449      2149.606      270      "1nF 50V 1% C0G"                                                                  
C210           100nF           BottomLayer C0402                      4055.118      2704.724      0        "100nF 16V 10% X7R"                                                               
C229           100nF           BottomLayer C0402                      4141.732      2570.866      90       "100nF 16V 10% X7R"                                                               
C258           100nF           TopLayer    C0402                      5692.913      1594.488      270      "100nF 16V 10% X7R"                                                               
C216           100nF           BottomLayer C0402                      3751.968      2165.354      270      "100nF 16V 10% X7R"                                                               
C243           100nF           BottomLayer C0402                      4629.921      4370.079      90       "100nF 16V 10% X7R"                                                               
C205           1nF             BottomLayer C0402                      4409.449      2405.512      270      "1nF 50V 1% C0G"                                                                  
C225           100nF           BottomLayer C0402                      4366.142      2307.087      90       "100nF 16V 10% X7R"                                                               
C222           1nF             BottomLayer C0402                      3996.063      2153.543      270      "1nF 50V 1% C0G"                                                                  
C230           1nF             BottomLayer C0402                      4181.102      2570.866      90       "1nF 50V 1% C0G"                                                                  
C221           100nF           BottomLayer C0402                      3956.693      2153.543      270      "100nF 16V 10% X7R"                                                               
C213           1nF             BottomLayer C0402                      3677.165      2581.693      90       "1nF 50V 1% C0G"                                                                  
C245           100nF           TopLayer    C0402                      3503.937      1598.425      270      "100nF 16V 10% X7R"                                                               
C252           100nF           TopLayer    C0402                      5503.937      1594.488      270      "100nF 16V 10% X7R"                                                               
C235           100nF           BottomLayer C0402                      3881.890      2212.598      180      "100nF 16V 10% X7R"                                                               
C211           1nF             BottomLayer C0402                      4055.118      2673.228      0        "1nF 50V 1% C0G"                                                                  
C223           100nF           BottomLayer C0402                      4354.331      2173.228      270      "100nF 16V 10% X7R"                                                               
X601           25MHz           TopLayer    403W                       4350.394      4606.299      180      "25MHz 8pF 20PPM"                                                                 
R610           6.04KO          TopLayer    R0402                      4477.362      4529.528      90       "6.04KO 1% 62.5mW"                                                                
IC602          VL805           TopLayer    QFN-68G_8X8                4685.039      4685.039      180      "VL805 4-Port USB 3.0 Host Controller"                                            
CO703          USB1135         TopLayer    USB1135-15-9-L-B           5963.386      4330.709      90       "USB3.0 Type A receptacle Horizontal"                                             
CO702          USB1135         TopLayer    USB1135-15-9-L-B           5963.386      3149.606      90       "USB3.0 Type A receptacle Horizontal"                                             
CO701          USB1135         TopLayer    USB1135-15-9-L-B           5963.386      1968.504      90       "USB3.0 Type A receptacle Horizontal"                                             
C627           100nF           TopLayer    C0402                      5511.811      3137.795      0        "100nF 16V 10% X7R"                                                               
C605           100nF           BottomLayer C0402                      4448.819      4712.598      90       "100nF 16V 10% X7R"                                                               
C608           100nF           BottomLayer C0402                      4771.654      4547.244      90       "100nF 16V 10% X7R"                                                               
C603           1µF             BottomLayer C0603                      4401.575      4720.472      90       "1µF 16V 10% X5R"                                                                 
C616           100nF           BottomLayer C0402                      4590.551      4547.244      90       "100nF 16V 10% X7R"                                                               
C609           100nF           BottomLayer C0402                      4822.835      4779.528      180      "100nF 16V 10% X7R"                                                               
C628           100nF           TopLayer    C0402                      5692.913      4173.228      0        "100nF 16V 10% X7R"                                                               
C604           100nF           BottomLayer C0402                      4511.811      4917.323      180      "100nF 16V 10% X7R"                                                               
C612           100nF           BottomLayer C0402                      4822.835      4685.039      180      "100nF 16V 10% X7R"                                                               
C621           100nF           BottomLayer C0402                      3645.669      2244.095      0        "100nF 16V 10% X7R"                                                               
C610           10µF            BottomLayer C0603                      4429.134      4834.646      90       "10µF 16V 20% X5R"                                                                
C623           100nF           BottomLayer C0402                      3645.669      2275.591      0        "100nF 16V 10% X7R"                                                               
C626           100nF           TopLayer    C0402                      5511.811      3106.299      0        "100nF 16V 10% X7R"                                                               
C613           100nF           BottomLayer C0402                      4614.173      4858.268      270      "100nF 16V 10% X7R"                                                               
C629           12pF            TopLayer    C0402                      4350.394      4704.724      0        "12pF 16V 1% C0G"                                                                 
C615           100nF           BottomLayer C0402                      4685.039      4547.244      90       "100nF 16V 10% X7R"                                                               
C611           1µF             BottomLayer C0603                      4476.378      4834.646      90       "1µF 16V 10% X5R"                                                                 
C617           100nF           BottomLayer C0402                      4732.283      4547.244      90       "100nF 16V 10% X7R"                                                               
C631           12pF            TopLayer    C0402                      4350.394      4507.874      0        "12pF 16V 1% C0G"                                                                 
C624           100nF           TopLayer    C0402                      5531.496      1925.197      0        "100nF 16V 10% X7R"                                                               
C602           10µF            BottomLayer C0603                      4503.937      4972.441      180      "10µF 16V 20% X5R"                                                                
C606           100nF           BottomLayer C0402                      4637.795      4547.244      90       "100nF 16V 10% X7R"                                                               
C607           100nF           BottomLayer C0402                      4822.835      4637.795      180      "100nF 16V 10% X7R"                                                               
C630           100nF           TopLayer    C0402                      5692.913      4204.724      0        "100nF 16V 10% X7R"                                                               
C614           100nF           BottomLayer C0402                      4547.244      4653.543      0        "100nF 16V 10% X7R"                                                               
C625           100nF           TopLayer    C0402                      5531.496      1956.693      0        "100nF 16V 10% X7R"                                                               
1              "QR code"       BottomLayer QR_FXLAND_1                0.000         0.000         0        "QR code FxLand 1"                                                                
C145           1µF             TopLayer    C0603                      1781.496      4753.937      0        "1µF 16V 10% X5R"                                                                 
R402           4.7KO           TopLayer    R0603                      1889.764      3535.433      270      "4.7KO 1% 100mW"                                                                  
R401           10KO            TopLayer    R0402                      1889.764      2984.252      270      "10KO 1% 62.5mW"                                                                  
D102           TVS             BottomLayer SOT-323                    1370.079      4527.559      90       "TRANSIL array for data protection"                                               
MO401          ZeroW-1         TopLayer    RPIZeroW_HeaderPins        2086.850      2657.480      270      "RPI ZeroW Header 1-40"                                                           
MO406          ZeroW           TopLayer    RPIZEROW_LAYOUT_HEIGHTENED 0.000         0.000         270      "Outline of ZeroW Heigthened P\lacement"                                          
MO405          ZeroW-M         TopLayer    CM4-M                      2086.614      3799.213      0        "RPI ZeroW Mounting Studs"                                                        
MO404          ZeroW-M         TopLayer    CM4-M                      1181.102      1515.748      0        "RPI ZeroW Mounting Studs"                                                        
MO403          ZeroW-M         TopLayer    CM4-M                      2086.614      1515.748      0        "RPI ZeroW Mounting Studs"                                                        
MO402          ZeroW-M         TopLayer    CM4-M                      1181.102      3799.213      0        "RPI ZeroW Mounting Studs"                                                        
MO507          CM4             TopLayer    RPICM4_Layout              0.000         0.000         90       "Outline of CM4"                                                                  
MO506          CM4-M           TopLayer    CM4-M                      5295.276      5748.032      0        "RPI CM4 Mounting Studs"                                                          
MO505          CM4-M           TopLayer    CM4-M                      3996.063      5748.032      0        "RPI CM4 Mounting Studs"                                                          
MO504          CM4-M           TopLayer    CM4-M                      5295.276      3858.268      0        "RPI CM4 Mounting Studs"                                                          
MO503          CM4-M           TopLayer    CM4-M                      3996.063      3858.268      0        "RPI CM4 Mounting Studs"                                                          
MO502          CM4-2           TopLayer    CM4_101-200                5314.961      4704.724      90       "RPI CM4 Pin 101-200"                                                             
Fid8           Fiducial        BottomLayer FidR_1.0mm                 1358.268      6397.638      180      "Fiducial Round 1mm"                                                              
Fid7           Fiducial        BottomLayer FidS_1.0mm                 6437.008      6397.638      180      "Fiducial Sqaure 1mm"                                                             
Fid6           Fiducial        BottomLayer FidR_1.0mm                 6437.008      1043.307      180      "Fiducial Round 1mm"                                                              
Fid5           Fiducial        BottomLayer FidS_1.0mm                 1043.307      1043.307      180      "Fiducial Sqaure 1mm"                                                             
Fid4           Fiducial        TopLayer    FidS_1.0mm                 1358.268      6397.638      0        "Fiducial Sqaure 1mm"                                                             
Fid3           Fiducial        TopLayer    FidR_1.0mm                 6437.008      6397.638      0        "Fiducial Round 1mm"                                                              
Fid2           Fiducial        TopLayer    FidS_1.0mm                 6437.008      1043.307      0        "Fiducial Sqaure 1mm"                                                             
Fid1           Fiducial        TopLayer    FidR_1.0mm                 1043.307      1043.307      0        "Fiducial Round 1mm"                                                              
R104           2.2KO           TopLayer    R0402                      3255.905      5456.693      180      "2.2KO 1% 62.5mW 100PPM"                                                          
R103           20KO            TopLayer    R0402                      3383.858      5496.063      180      "20KO 1% 100mW 100PPM"                                                            
R102           12KO            TopLayer    R0402                      3255.905      5425.197      0        "12KO 1% 62.5mW"                                                                  
R101           100O            TopLayer    R0603                      3206.693      5712.599      0        "100O 1% 100mW"                                                                   
L101           "3.3µH 5A"      TopLayer    SRN6045TA                  3417.323      5740.158      90       "3.3µH 5A 30% 21mO"                                                               
C116           1.2nF           TopLayer    C0402                      3411.417      5437.008      270      "1.2nF 50V 10% X7R"                                                               
C115           1nF             TopLayer    C0402                      3356.299      5437.008      270      "1nF 50V 1% C0G"                                                                  
C114           100nF           TopLayer    C0402                      3057.087      5437.008      0        "100nF 50V 10% X7R"                                                               
C113           10µF            TopLayer    C0805                      2935.039      5663.386      90       "10µF 35V 10% X5R"                                                                
C112           10µF            TopLayer    C0805                      2830.709      5663.386      90       "10µF 35V 10% X5R"                                                                
C111           10µF            TopLayer    C0805                      2830.709      5486.221      270      "10µF 35V 10% X5R"                                                                
C110           10µF            TopLayer    C0805                      2935.039      5486.221      270      "10µF 35V 10% X5R"                                                                
C109           10µF            TopLayer    C0805                      2683.071      5624.016      180      "10µF 35V 10% X5R"                                                                
C108           10µF            TopLayer    C0805                      2683.071      5525.591      180      "10µF 35V 10% X5R"                                                                
C106           1nF             TopLayer    C0402                      3255.905      5393.701      180      "1nF 50V 1% C0G"                                                                  
C105           10µF            TopLayer    C0805                      3692.913      5342.520      180      "10µF 16V 10% X5R"                                                                
C104           10µF            TopLayer    C0805                      3692.913      5421.260      180      "10µF 16V 10% X5R"                                                                
C103           10µF            TopLayer    C0805                      3692.913      5500.000      180      "10µF 16V 10% X5R"                                                                
C102           10µF            TopLayer    C0805                      3692.913      5578.740      180      "10µF 16V 10% X5R"                                                                
R504           150O            TopLayer    R0603                      5381.890      6090.551      270      "150O 1% 100mW"                                                                   
D501           "Led Green"     TopLayer    Led0805                    5421.260      6003.937      0        "Led Green"                                                                       
R501           12KO            BottomLayer R0402                      4716.535      5730.315      90       "12KO 1% 62.5mW"                                                                  
IC501          RT9742          BottomLayer SOT-23-5                   4614.173      5730.315      90       "RT9742 High side power switch"                                                   
CO501          µSD-Card        TopLayer    693071030811               4448.268      6174.884      180      "µSD-Card holder"                                                                 
C502           10µF            BottomLayer C0603                      4486.221      5723.425      90       "10µF 16V 20% X5R"                                                                
C501           10µF            BottomLayer C0603                      4760.827      5665.354      270      "10µF 16V 20% X5R"                                                                
R107           69.8KO          TopLayer    R0603                      2464.567      4767.717      0        "69.8KO 1% 100mW 100PPM"                                                          
R106           100O            TopLayer    R0603                      2413.386      5078.740      0        "100O 1% 100mW"                                                                   
L102           "3.3µH 5A"      TopLayer    SRN6045TA                  2647.638      5098.425      90       "3.3µH 5A 30% 21mO"                                                               
IC104          MCP19035        TopLayer    DFN-10G_3X3                2790.354      4255.905      180      "Switching Controllers Synchronous Buck PWM Control 600kHz 12ns"                  
C119           10µF            TopLayer    C0805                      2870.079      5039.370      0        "10µF 16V 10% X5R"                                                                
C118           10µF            TopLayer    C0805                      2870.079      5181.102      0        "10µF 16V 10% X5R"                                                                
C117           100nF           TopLayer    C0402                      2267.717      5078.740      180      "100nF 50V 10% X7R"                                                               
C121           10µF            TopLayer    C0805                      2870.079      4968.504      0        "10µF 16V 10% X5R"                                                                
C120           10µF            TopLayer    C0805                      2870.079      5110.236      0        "10µF 16V 10% X5R"                                                                
IC101          AP64501SP-13    TopLayer    SO-8-EP                    3135.827      5574.803      270      "3.8V TO 40V INPUT, 5A LOW IQ SYNCHRONOUS BUCK WITH PROGRAMMABLE SOFT-START TIME" 
C136           100µF           TopLayer    RL_6.3_2.5_11              3080.709      3248.032      0        "100µF 35V 20% 231mA"                                                             
C135           330nF           TopLayer    C0603                      2818.898      4120.079      0        "330nF 35V 10% X5R"                                                               
C137           4.7µF           TopLayer    C0603                      2672.244      4194.882      180      "4.7µF 16V 10% X5R"                                                               
C132           100nF           TopLayer    C0805                      2795.276      4440.945      0        "100nF 50V 20% X7R"                                                               
C101           100nF           TopLayer    C0402                      3061.024      5712.599      180      "100nF 50V 10% X7R"                                                               
H4             "Hole M4"       TopLayer    HOLE_M4                    6299.213      6299.213      0        "Mounting Hole M4"                                                                
H3             "Hole M4"       TopLayer    HOLE_M4                    6299.213      1181.102      0        "Mounting Hole M4"                                                                
H2             "Hole M4"       TopLayer    HOLE_M4                    1181.102      6299.213      0        "Mounting Hole M4"                                                                
H1             "Hole M4"       TopLayer    HOLE_M4                    1181.102      1181.102      0        "Mounting Hole M4"                                                                
SW504          OS102011        TopLayer    OS10_Series                3287.402      4204.724      0        "Miniature Slide Switch SPDT"                                                     
R516           150O            TopLayer    R0603                      4380.905      3799.213      270      "150O 1% 100mW"                                                                   
R515           150O            TopLayer    R0603                      3686.220      4038.780      270      "150O 1% 100mW"                                                                   
R514           10KO            TopLayer    R0603                      3314.961      4330.709      0        "10KO 5% 100mW"                                                                   
R510           150O            TopLayer    R0603                      4182.480      3799.213      90       "150O 1% 100mW"                                                                   
MO501          CM4-1           TopLayer    CM4_001-100                3976.378      4704.724      90       "RPI CM4 Pin 1-100"                                                               
J509           Header          TopLayer    1X2P_2.54mm                3289.961      4406.299      0        "Header 1x2P"                                                                     
J508           Header          TopLayer    1X2P_2.54mm                3289.961      4506.299      0        "Header 1x2P"                                                                     
J507           Header          TopLayer    1X2P_2.54mm                3289.961      4606.299      0        "Header 1x2P"                                                                     
J504           Header          TopLayer    1X2P_2.54mm                3289.961      4906.299      180      "Header 1x2P"                                                                     
IC504          SN74LVC1G07D    TopLayer    SOT-23-5                   3736.220      4213.779      180      "Buffer IC"                                                                       
IC503          RT9742          TopLayer    SOT-23                     5941.929      5385.827      270      RT9742SNGV                                                                        
D504           "Led Green"     TopLayer    Led0805                    4380.905      3622.047      270      "Led Green"                                                                       
D505           "Led Green"     TopLayer    Led0805                    3761.220      4038.780      270      "Led Green"                                                                       
D502           "Led Green"     TopLayer    Led0805                    4182.480      3622.047      270      "Led Green"                                                                       
D503           TVS             TopLayer    SOT-3                      5118.110      6115.158      180      "USB 2 TVS Diode"                                                                 
CO503          HDMI            TopLayer    HDMI                       6238.189      5570.866      90       HDMI                                                                              
CO502          USB4056         TopLayer    USB4056-03-A               5118.110      6314.961      180      "USB C connector Receptacle Horizontal"                                           
C510           100nF           TopLayer    C0402                      6032.480      5401.575      270      "100nF 16V 10% X7R"                                                               
C509           100nF           TopLayer    C0402                      5959.646      5298.228      180      "100nF 16V 10% X7R"                                                               
C507           1µF             TopLayer    C0603                      3710.630      4448.819      180      "1µF 16V 10% X5R"                                                                 
C506           10µF            TopLayer    C0603                      3710.630      4507.874      180      "10µF 16V 20% X5R"                                                                
C505           47µF            TopLayer    C1210                      3681.102      4606.299      180      "47µF 16V 20% X5R"                                                                
C504           100µF           TopLayer    EC_B6                      3651.575      4803.150      180      "100µF 16V 20% 15mO 4000mA"                                                       
C503           330µF           TopLayer    EC_E7                      3602.362      5102.362      180      "330µF 16V 20% 16mO 4100mA"                                                       
C406           1µF             TopLayer    C0603                      2263.780      3480.315      270      "1µF 16V 10% X5R"                                                                 
C405           1µF             TopLayer    C0603                      2263.780      3633.858      90       "1µF 16V 10% X5R"                                                                 
C404           10µF            TopLayer    C0805                      2330.709      3468.504      270      "10µF 16V 10% X5R"                                                                
C403           10µF            TopLayer    C0805                      2330.709      3645.669      90       "10µF 16V 10% X5R"                                                                
C402           330µF           TopLayer    EC_E7                      2539.370      3342.716      270      "330µF 16V 20% 16mO 4100mA"                                                       
C401           330µF           TopLayer    EC_E7                      2539.370      3767.716      90       "330µF 16V 20% 16mO 4100mA"                                                       
